"**PROJ"
"*PROJ_ID","*PROJ_NAME","*PROJ_LOC","*PROJ_CLNT","*PROJ_CONT","*PROJ_ENG","*PROJ_MEMO","*PROJ_DATE","*PROJ_AGS","*FILE_FSET"
"<UNITS>","","","","","","","","",""
"k4976","SI Works for Slope Strengthening Works at Registry of Marriage (ROM)","Fort Canning Park (ROM)","Ministry of Social and Family Development","Ryobi Geotechnique Pte Ltd","Chen Jiun Fook","1 Borehole, Field, Laboratory data","","",""
"<CONT>","","","","",""," and Tests","26/01/2016","3.1","RG/2016/k4976/260115/mmh"

"**ABBR"
"*ABBR_HDNG","*ABBR_CODE","*ABBR_DESC"
"HOLE_TYPE","IP","Inspection pit"
"HOLE_TYPE","OP","Observation pit/trench"
"HOLE_TYPE","PM","Pressuremeter test hole"
"HOLE_TYPE","RC","Rotary cored"
"HOLE_TYPE","RCG","Rotary drilling in common ground"
"HOLE_TYPE","RO","Rotary open hole"
"HOLE_TYPE","S","Shaft"
"HOLE_TYPE","SCP","Static cone penetrometer"
"HOLE_TYPE","TP","Trial pit/trench"
"HOLE_TYPE","TRAV","Linear logging traverse or scanline survey"
"HOLE_TYPE","VC","Vibrocore"
"HOLE_TYPE","W","Wash boring"
"HOLE_TYPE","WLS","Dynamic (windowless) sampler"
"HOLE_TYPE","WS","Window Sampler"
"HOLE_TYPE","SRFL","Seismic Reflection Line survey"
"HOLE_TYPE","SRAL","Seismic Refraction Line survey"
"HOLE_TYPE","GRAL","Gravity Line survey"
"HOLE_TYPE","RESL","Resistivity Line survey"
"HOLE_TYPE","MAGL","Magnetic Line survey"
"HOLE_TYPE","BGP","Borehole Geophysic survey"
"ISPT_TYPE","C","Cone"
"ISPT_TYPE","S","Split spoon"
"LEMC_LEMC","Class 1","Emerson Class 1"
"LEMC_LEMC","Class 2","Emerson Class 2"
"LEMC_LEMC","Class 3","Emerson Class 3"
"LEMC_LEMC","Class 4","Emerson Class 4"
"LEMC_LEMC","Class 5","Emerson Class 5"
"LEMC_LEMC","Class 6","Emerson Class 6"
"LEMC_LEMC","Class 7","Emerson Class 7"
"LEMC_LEMC","Class 8","Emerson Class 8"
"MONP_TYPE","DM","Discontinuity monitoring"
"MONP_TYPE","TMU","Tiltmeter - Uniaxial"
"MONP_TYPE","TMB","Tiltmeter - Biaxial"
"MONP_TYPE","ICM","Inclinometer - Manual"
"MONP_TYPE","ICE","Inclinometer - Electronic"
"MONP_TYPE","LC","Load cell"
"MONP_TYPE","ETR","Rod Extensometer"
"MONP_TYPE","ETM","Magnetic Extensometer"
"MONP_TYPE","ETT","Tape Extensometer"
"MONP_TYPE","EPCE","Embedment pressure cell - electronic"
"MONP_TYPE","EPCH","Embedment pressure cell - hydraulic"
"MONP_TYPE","EPCP","Embedment pressure cell - pneumatic"
"MONP_TYPE","IPCE","Interface pressure cell - electronic"
"MONP_TYPE","IPCH","Interface pressure cell - hydraulic"
"MONP_TYPE","IPCP","Interface pressure cell - pneumatic"
"MONP_TYPE","PPCE","Push in pressure cell - electronic"
"MONP_TYPE","PPCH","Push in pressure cell - hydraulic"
"MONP_TYPE","PPCP","Push in pressure cell - pneumatic"
"MONP_TYPE","MSET","Levelling point or plate"
"MONP_TYPE","TS","Total station point"
"MONP_TYPE","ESET","Electronic settlement cell/gauges"
"MONP_TYPE","HSET","Hydraulic settlement cell/gauges"
"MONP_TYPE","PSET","Pneumatic settlement cell/gauges"
"MONP_TYPE","SP","Standpipe"
"MONP_TYPE","SPIE","Standpipe piezometer"
"MONP_TYPE","HPIE","Hydraulic piezometer"
"MONP_TYPE","PPIE","Pneumatic Piezometer"
"MONP_TYPE","EPIE","Electronic Piezometer"
"MONP_TYPE","SG","Strain gauge"
"MONP_TYPE","TP","Temperature measuring point"
"MONP_TYPE","GWMP","Groundwater monitoring point"
"MONP_TYPE","GMP","Gas monitoring point"
"MONP_TYPE","SLIP","Slip indicator"
"PREF_TYPE","SP","Standpipe"
"PREF_TYPE","SPIE","Standpipe piezometer"
"PREF_TYPE","HPIE","Hydraulic piezometer"
"PREF_TYPE","PPIE","Pneumatic piezometer"
"PREF_TYPE","EPIE","Electronic piezometer"
"PRTD_TYPE","SBP","Self boring pressuremeter"
"PRTD_TYPE","HPD","High pressure dilatometer"
"PRTD_TYPE","WRSBP","Weak rock self boring pressuremeter"
"PRTD_TYPE","MPM","Menard type pressuremeter"
"PRTD_TYPE","PIP","Push-in pressuremeter"
"ROCK_PLTF","A","Axial New"
"ROCK_PLTF","D","Diametral New"
"ROCK_PLTF","L","Parallel to planes of weakness New"
"ROCK_PLTF","P","Perpendicular to planes of weakness New"
"ROCK_PLTF","I","Irregular lump New"
"ROCK_PLTF","B","Block New"
"SAMP_TYPE","AMAL","Amalgamated sample (see note 3)"
"SAMP_TYPE","B","Bulk disturbed sample"
"SAMP_TYPE","BLK","Block sample"
"SAMP_TYPE","C","Core sample"
"SAMP_TYPE","CR","Core sample"
"SAMP_TYPE","CBR","CBR mould sample"
"SAMP_TYPE","D","Small disturbed sample"
"SAMP_TYPE","G","Gas sample"
"SAMP_TYPE","LB","Large bulk disturbed sample (for earthworks testing)"
"SAMP_TYPE","M","Mazier type sample"
"SAMP_TYPE","MZ","Mazier type sample"
"SAMP_TYPE","P","Piston sample"
"SAMP_TYPE","SPTLS","Standard penetration test liner sample"
"SAMP_TYPE","TW","Thin walled push in sample"
"SAMP_TYPE","U","Undisturbed sample - open drive"
"SAMP_TYPE","WS","Water sample"
"SAMP_TYPE","W","Water sample"
"SAMP_TYPE","DS","Denison Sample"
"SAMP_TYPE","ES","Soil sample for environmental testing New"
"SAMP_TYPE","EW","Water sample for environmental testing New"
"STCN_TYP","CC","Conductivity cone"
"STCN_TYP","EC","Electric cone"
"STCN_TYP","FFD","Fuel fluorescence cone"
"STCN_TYP","MC","Mechanical cone"
"STCN_TYP","PC","Piezo cone"
"STCN_TYP","TC","Temperature cone"
"TRIG_TYPE","CADC","Anisotropically consolidated drained compression with pwp measurement"
"TRIG_TYPE","CADE","Anisotropically consolidated drained extension with pwp measurement"
"TRIG_TYPE","CAUC","Anisotropically consolidated undrained compression with pwp measurement"
"TRIG_TYPE","CAUE","Anisotropically consolidated undrained extension with pwp measurement"
"TRIG_TYPE","CD","Consolidated drained (single stage)"
"TRIG_TYPE","CDM","Consolidated drained (multi-stage)"
"TRIG_TYPE","CIDC","Isotropically consolidated drained compression with pwp measurement"
"TRIG_TYPE","CIDE","Isotropically consolidated drained extension with pwp measurement"
"TRIG_TYPE","CU","Consolidated undrained with pwp measurement (single stage)"
"TRIG_TYPE","CUM","Consolidated undrained with pwp measurement (multi-stage)"
"TRIG_TYPE","CKoU","Ko-consolidated undrained triaxial test"
"TRIG_TYPE","UNC","Unconfined Compressive test"
"TRIG_TYPE","UU","Unconsolidated quick undrained (single stage)"
"TRIG_TYPE","UUM","Unconsolidated quick undrained (multi-stage)"
"TRIG_TYPE","UUP","Unconsolidated undrained with porewater measurement"
"TRIX_TYPE","?TRIX_CU","Unconsolidated quick undrained (single stage)"
"STOP","",""

"**CLSS"
"*HOLE_ID","*SAMP_TOP","*SAMP_REF","*SAMP_TYPE","*SPEC_REF","*SPEC_DPTH","*CLSS_NMC","*CLSS_LL","*CLSS_PL","*CLSS_BDEN","*CLSS_DDEN","*CLSS_PD"
"<UNITS>","m","","","","m","%","%","%","Mg/m3","Mg/m3","Mg/m3"
"BH 1","2","1","TW","TW1","2","29","56","24","1.95","1.512","2.69"

"**CORE"
"*HOLE_ID","*CORE_TOP","*CORE_BOT","*CORE_PREC","*CORE_SREC","*CORE_RQD","*CORE_REM","*CORE_DIAM"
"<UNITS>","m","m","%","%","%","",""
"BH 1","13.5","14","100","70","70","100","50"

"**DETL"
"*HOLE_ID","*DETL_TOP","*DETL_BASE","*DETL_DESC","*?DETL_PATT"
"<UNITS>","m","m","",""
"BH 1","0","4","Trial Pit and Hand Auger 1.5x1.5x3.0m Yellowish brown slightly sandy CLAY (FORT CANNING BOULDER BED)","S(VI)"
"BH 1","4","6","Very dense Reddish brown silty fine SAND (FORT CANNING BOULDER BED)","S(VI)"
"BH 1","6","10","Hard Light grey to purple with striped yellow slightly sandy SILT (FORT CANNING BOULDER BED)","S(VI)"
"BH 1","10","12","Hard Light grey with striped dark brown slightly sandy SILT (FORT CANNING BOULDER BED)","S(VI)"
"BH 1","12","13.5","Hard Dark purplish brown and light grey slightly sandy SILT with rock fragments (FORT CANNING BOULDER BED)","S(VI)"
"BH 1","13.5","14","Strong Reddish brown and light grey fine to coarse SANDSTONE Moderately weathered, moderately fractured, (FORT CANNING BOULDER BED)","S(III)"
"BH 1","14","14.93","Hard Dark reddish brown with dappled light grey slightly sandy SILT (FORT CANNING BOULDER BED)","S(V)"

"**DICT"
"*DICT_TYPE","*DICT_GRP","*DICT_HDNG","*DICT_STAT","*DICT_DESC","*DICT_UNIT","*DICT_EXMP","*?DICT_PGRP"
"GROUP","WLBG","","","Water level of hole during drilling","","","HOLE"
"HEADING","WLBG","WLBG_DATE","COMMON","Date","dd/mm/yyyy","05/12/2001","HOLE"
"HEADING","WLBG","WLBG_TIME","COMMON","Time","hhmm","1120","HOLE"
"HEADING","WLBG","WLBG_BHDH","COMMON","Borehole depth","m","20","HOLE"
"HEADING","WLBG","WLBG_CSDH","COMMON","Casing depth","m","5","HOLE"
"HEADING","WLBG","WLBG_WLBG","COMMON","Water depth below ground","m","1","HOLE"
"HEADING","CORE","CORE_FPM","COMMON","Fracture number per meter for rock","","5","HOLE"
"HEADING","DETL","DETL_PATT","COMMON","Additional definition of soil pattern for cross section","","F2","HOLE"
"HEADING","CONG","CONG_PRCP","COMMON","Preconsolidation pressure","kN/m2","100","SAMP"
"HEADING","CONG","CONG_COM","COMMON","Compression index","","1","SAMP"
"HEADING","CONG","CONG_RCOM","COMMON","Recompression index","","0.2","SAMP"
"HEADING","TRIX","?TRIX_CU","COMMON","Value of undrained shear strength","kPa","180","TRIG"
"HEADING","PROJ","?PROJ_STAT","COMMON","Status of data within submision","","Final",""
"HEADING","FILE","?FILE_DOCT","COMMON","Document type","","PH","-"
"HEADING","CONG","?CONG_IVR","COMMON","Initial void ratio","","0.8","SAMP"
"HEADING","FILE","FILE_FEST","COMMON","Associated file reference","","RG/2014/k4449/260210/mmh","FILE"
"HEADING","IPRM","?IPRM_TESN","COMMON","Test number","","2","IPRM"
"HEADING","PRTG","?PRTG_CRP","COMMON","Creep Pressure","","3500.05","PRTG"
"HEADING","PRTG","?PRTG_MPMI","COMMON","Menaed Pressuremeter","","42835.08","PRTG"
"HEADING","PRTG","?PRTG_MPMR","COMMON","Menaed pressure modulus (Reload)","","83543.09","PRTG"
"HEADING","IPRM","?IPRM_DATE","COMMON","Test Date","","22/12/2013","IPRM"
"HEADING","IPRM","*IPRM_TESN","COMMON","Test number","","2","IPRM"
"HEADING","IPRM","IPRM_TESN","COMMON","In Situ Permeability Test","","","IPRM"
"HEADING","WLBG","?WLBG","COMMON","Water level of hole during drilling","","2.25","WLBG"
"HEADING","WLBG","*?WLBG_DATE","COMMON","Date","dd/mm/yyyy","05/12/2001","WLBG"
"HEADING","HOLE","HOLE_ID","KEY","Exploratory hole or location equivalent","","SBH 01","HOLE"
"HEADING","CONS","?CONS_REM","KEY","Remarks including method used to determine coefficients reported underCONS_INMV and select CONS_INCV.","","","CONS"
"HEADING","IVAN","?IVAN_DATE","COMMON","Test Date","","22/12/2013","IVAN"
"HEADING","WLBG","*HOLE_ID","COMMON","Borehole Number","","SBH 01","WLBG"
"HEADING","WLBG","HOLE_ID","COMMON","Borehole Number","","SBH 02","WLBG"
"HEADING","WLBG","*?HOLE_ID","COMMON","Borehole Number","","SBH 03","WLBG"

"**FILE"
"*FILE_FSET","*FILE_NAME","*FILE_DESC","*FILE_TYPE","*FILE_DATE"
"<UNITS>","","","","dd/mm/yyyy"
"RG/2016/k4976/260115/mmh","SGO_SI_ROM.ags","1 Borehole, Field, Laboratory data and Tests","AGS","26/01/2016"

"**GEOL"
"*HOLE_ID","*GEOL_TOP","*GEOL_BASE","*GEOL_DESC","*GEOL_LEG","*GEOL_GEOL","*GEOL_GEO2"
"<UNITS>","m","m","","","",""
"BH 1","0","4","Trial Pit and Hand Auger 1.5x1.5x3.0m Yellowish brown slightly sandy CLAY (FORT CANNING BOULDER BED)","203","S(VI)","CS"
"BH 1","4","6","Very dense Reddish brown silty fine SAND (FORT CANNING BOULDER BED)","403","S(VI)","SM"
"BH 1","6","10","Hard Light grey to purple with striped yellow slightly sandy SILT (FORT CANNING BOULDER BED)","303","S(VI)","MS"
"BH 1","10","12","Hard Light grey with striped dark brown slightly sandy SILT (FORT CANNING BOULDER BED)","303","S(VI)","MS"
"BH 1","12","13.5","Hard Dark purplish brown and light grey slightly sandy SILT with rock fragments (FORT CANNING BOULDER BED)","303","S(VI)","MS"
"BH 1","13.5","14","Strong Reddish brown and light grey fine to coarse SANDSTONE Moderately weathered, moderately fractured, (FORT CANNING BOULDER BED)","803","S(III)","SA"
"BH 1","14","14.93","Hard Dark reddish brown with dappled light grey slightly sandy SILT (FORT CANNING BOULDER BED)","303","S(V)","MS"

"**GRAD"
"*HOLE_ID","*SAMP_TOP","*SAMP_REF","*SAMP_TYPE","*SPEC_REF","*SPEC_DPTH","*GRAD_SIZE","*GRAD_PERP"
"<UNITS>","m","","","","m","mm","%"
"BH 1","2","1","TW","TW1","2","2","97"
"BH 1","2","1","TW","TW1","2","0.063","70"
"BH 1","2","1","TW","TW1","2","0.002","42"

"**HOLE"
"*HOLE_ID","*HOLE_TYPE","*HOLE_NATE","*HOLE_NATN","*HOLE_GL","*HOLE_FDEP","*HOLE_STAR","*HOLE_LOG","*HOLE_REM","*HOLE_ENDD","*HOLE_CREW","*HOLE_INCL","*HOLE_LOCA"
"<UNITS>","","m","m","m","m","dd/mm/yyyy","","","dd/mm/yyyy","","deg",""
"BH 1","RCG","29611.904","30694.189","123.68","14.93","12/11/2015","Mung Boy","End of borehole at 24.85m","14/11/2015","Muthu","Vertical","Fort Canning Park (ROM)"

"**ISPT"
"*HOLE_ID","*ISPT_TOP","*ISPT_SEAT","*ISPT_MAIN","*ISPT_NPEN","*ISPT_NVAL","*ISPT_REP","*ISPT_TYPE","*ISPT_INC2","*ISPT_INC4","*ISPT_INC6","*ISPT_PEN2","*ISPT_PEN4","*ISPT_PEN6"
"<UNITS>","m","","","mm","","","","","","","mm","mm","mm"
"BH 1","2.9","4","12","450","12",",4/,5,,7  N=12","S","4","5","7","150","150","150"
"BH 1","4","16","53","450","53",",16/,23,,30  N=53","S","16","23","30","150","150","150"
"BH 1","6","13","55","450","55",",13/,23,,32  N=55","S","13","23","32","150","150","150"
"BH 1","8","18","58","450","58",",18/,26,,32  N=58","S","18","26","32","150","150","150"
"BH 1","10","16","62","450","62",",16/,28,,34  N=62","S","16","28","34","150","150","150"
"BH 1","12","15","45","450","45",",15/,18,,27  N=45","S","15","18","27","150","150","150"
"BH 1","14.5","20","100","430","100",",20/,48,,52  N=100","S","20","48","52","150","150","130"

"**PTIM"
"*HOLE_ID","*PTIM_DATE","*PTIM_TIME","*PTIM_DEP","*PTIM_CAS","*PTIM_WAT"
"<UNITS>","dd/mm/yyyy","hhmm","m","m","m"
"BH 1","17/09/2015","0830","8","3","2"
"BH 1","18/09/2015","0830","15","6","2.5"

"**SAMP"
"*HOLE_ID","*SAMP_TOP","*SAMP_REF","*SAMP_TYPE","*SAMP_DIA","*SAMP_BASE","*SAMP_DESC","*SAMP_REM"
"<UNITS>","m","","","","m","",""
"BH 1","2","1","TW","75","2.9","Sandy CLAY","60"

"**TRIG"
"*HOLE_ID","*SAMP_TOP","*SAMP_REF","*SAMP_TYPE","*SPEC_REF","*SPEC_DPTH","*TRIG_TYPE","*TRIG_COND","*TRIG_REM","*TRIG_COH","*TRIG_PHI"
"<UNITS>","m","","","","m","","","","kN/m2","deg"
"BH 1","2","1","TW","TW1","2","CD","Undisturbed","BS 1377 : Part 8 : 1990 : 8/9*","3","30"

"**TRIX"
"*HOLE_ID","*SAMP_TOP","*SAMP_REF","*SAMP_TYPE","*SPEC_REF","*SPEC_DPTH","*TRIX_TESN","*TRIX_SDIA","*TRIX_MC","*TRIX_CELL","*TRIX_DEVF","*TRIX_SLEN","*TRIX_BDEN","*TRIX_DDEN","*TRIX_PWPF","*TRIX_PWPI","*TRIX_STRN","*TRIX_MODE"
"<UNITS>","m","","","","m","","mm","%","kN/m2","kN/m2","mm","Mg/m3","Mg/m3","kN/m2","kN/m2","%",""
"BH 1","2","1","TW","TW1","2","1","38","29","330","73.5","76","2.03","1.57","318.8","298","3.8","Brittle, plastic"
"BH 1","2","1","TW","TW1","2","2","38","29","360","135.9","76","2.03","1.57","318.8","297.4","7","Brittle, plastic"
"BH 1","2","1","TW","TW1","2","3","38","29","420","246.8","76","2.03","1.57","318.8","299.2","14.8","Brittle, plastic"

"**UNIT"
"*UNIT_UNIT","*UNIT_DESC"
"m","metre"
"mm","millimetre"
"dd/mm/yyyy","day month year"
"hhmm","hours minutes"
"%","percentage"
"deg","degree"
"kN/m2","kiliNewtons per square metre"
"Mg/m3","megegrams per cubic metre"
"kPa","Kilo Pascal"
"m/s","meter per second"
"g/l","grams per litre"
"MN/m2","megaNewtons per square metre"
"m2/MN","meter square per mega Newton"
"m2/yr","meter square per year"
"mg/l","miligram per litre"
"kN/m3","kiloNewtons per cubic metre"

"**WETH"
"*HOLE_ID","*WETH_TOP","*WETH_BASE","*WETH_GRAD"
"<UNITS>","m","",""
"BH 1","0","4","6"
"BH 1","4","6","6"
"BH 1","6","10","6"
"BH 1","10","12","6"
"BH 1","12","13.5","6"
"BH 1","13.5","14","3"
"BH 1","14","14.93","5"

"**?WLBG"
"*?HOLE_ID","*?WLBG_DATE","*?WLBG_TIME","*?WLBG_BHDH","*?WLBG_CSDH","*?WLBG_WLBG"
"<UNITS>","dd/mm/yyyy","hhmm","m","m","m"
"BH 1","17/09/2015","0830","8","3","2"
"BH 1","18/09/2015","0830","15","6","2.5"

"**CODE"
"*CODE_CODE","*CODE_DESC"
"11BIP","1,1- Biphenyl"
"11DEA","1,1- Dichloroethane"
"11DEE","1,1- Dichloroethene"
"11DCP","1,1- Dichloropropene"
"111TCE","1,1,1- Trichloroethane"
"1112TCE","1,1,1,2- Tetrachloroethane"
"112T122T","1,1,2- Trichloro-1,2,2-Trifluoroethane"
"112TCE","1,1,2- Trichloroethane"
"1122TCE","1,1,2,2- Tetrachloroethane"
"12BIP","1,2- Biphenyl"
"12D3C","1,2- Dibromo-3-Chloropropane"
"12DIB","1,2- Dibromoethane"
"12DB","1,2- Dichlorobenzene"
"12DEA","1,2- Dichloroethane"
"12DP","1,2- Dichloropropane"
"123TCB","1,2,3- Trichlorobenzene"
"123TCP","1,2,3- Trichloropropane"
"124TCB","1,2,4- Trichlorobenzene"
"124TMB","1,2,4- Trimethylbenzene"
"13DB","1,3- Dichlorobenzene"
"13DP","1,3- Dichloropropane"
"135TCB","1,3,5- Trichlorobenzene"
"135TMB","1,3,5- Trimethylbenzene"
"14DB","1,4- Dichlorobenzene"
"2BUT","2- Butanone"
"2CNAP","2- Chloronaphthalene"
"2CP","2- Chlorophenol"
"2CT","2- Chlorotoluene"
"2MNAP","2- Methylnaphthalene"
"2MP","2- Methylphenol"
"2NA","2- Nitroaniline"
"2NP","2- Nitrophenol"
"22DP","2,2- Dichloropropane"
"2346TCP","2,3,4,6- Tetrachlorophenol"
"24DCP","2,4- Dichlorophenol"
"24DMP","2,4- Dimethylphenol"
"24DNP","2,4- DinitrophenolNew"
"24DNT","2,4- Dinitrotoluene"
"245TCP","2,4,5- Trichlorophenol"
"246TCP","2,4,6- Trichlorophenol"
"26DCP","2,6- Dichlorophenol"
"26DNT","2,6- Dinitrotoluene"
"3NA","3- Nitroaniline"
"33DCBZDNE","3,3'-Dichlorobenzidine"
"34MP","3,4- Methylphenol"
"4BPPE","4- Bromophenylphenyl ether"
"4C3MP","4- Chloro-3-Methlphenol"
"4CA","4- Chloroaniline"
"4CP","4- Chlorophenol"
"4CPPE","4- Chlorophenylphenyl ether"
"4CT","4- Chlorotoluene"
"4IPT","4- Isopropyltoluene"
"4MP","4- Methylphenol"
"4NA","4- Nitroaniline"
"4NP","4- Nitrophenol"
"44DDD","4,4- DDD"
"44DDE","4,4- DDE"
"44DDT","4,4- DDT"
"46DN2MP","4,6-Dinitro-2-methylphenol"
"ACNEN","Acenaphthene"
"ACNAP","Acenaphthylene"
"ACET","Acetaldehyde"
"AIMS","Acidinsoluble matter"
"ACIDW","Acidityas Calciumcarbonate"
"ACALW","Acidity/Alkalinity"
"ADSC","Aerobicdip slidecolonies"
"ALCO","Alcohols"
"ALD","Aldrin"
"ALKBW","Alkalinity- BicarbonateasCaCO3"
"ALKCW","Alkalinity- CarbonateasCaCO3"
"ABHC","alpha- BHC"
"AHCH","alpha- HCH"
"AL","Aluminium"
"AMET","Ametryn"
"AMMOW","Ammonia"
"AMMNS","Ammoniacal nitrogen"
"ABC","Anaerobic bacteria count"
"AIDW","Anionic detergents"
"ANTHNN","Anthanthrene"
"ANTHN","Anthracene"
"ANTHS","Anthrax (Presence of)"
"SB","Antimony"
"A1016","Aroclor1016"
"A1221","Aroclor1221"
"A1232","Aroclor1232"
"A1242","Aroclor1242"
"A1248","Aroclor1248"
"A1254","Aroclor1254"
"A1260","Aroclor1260"
"A1262","Aroclor1262"
"HYDRS","Aromatic hydrocarbons"
"AS","Arsenic"
"ASB","Asbestos"
"ATZ","Atrazine"
"AVF","Aviationfuel"
"AZPE","Azinphos-ethyl"
"AZPM","Azinphos-methyl"
"AZB","Azobenzene"
"BA","Barium"
"BENZ","Benzene"
"BENA","Benzo(a) anthracene"
"BENAP","Benzo(a) pyrene"
"BENB","Benzo(b) fluoranthene"
"BENGI","Benzo(ghi) perylene"
"BENK","Benzo(k) fluoranthene"
"BENEP","Benzo(e) pyrene"
"BENZACID","BenzoicAcid"
"BENZALC","Benzylalcohol"
"BE","Beryllium"
"BBHC","beta- BHC"
"BHCH","beta- HCH"
"BICS","Bicarbonate"
"BICAW","Bicarbonate"
"BICPB","Bichlorobiphenyl"
"BIOXW","Biochemical oxygen demand"
"BPHENYL","BiphenylNew"
"B2CEE","bis(2 -chloroethoxy)ether"
"B2CEM","bis(2 -chloroethoxy)methane"
"B2CEYE","bis(2 -chloroethyl)ether"
"B2CIPE","bis(2 -chloroisopropyl)ether"
"B2EHP","bis(2 -ethylhexyl)phthalate"
"B","Boron"
"BROMW","Bromide"
"BROMBE","Bromobenzene"
"BROMCM","Bromochloromethane"
"BROMO","Bromodichloromethane"
"BROMF","Bromoform"
"BROMM","Bromomethane"
"GBUT","Butane"
"BUTA","Butanoicacid, 1-methyloctyl ester"
"BBP","Butylbenzyl phthalate"
"BUTP","butylphenol"
"CPERF","C.Perfringens"
"CD","Cadmium"
"CA","Calcium"
"CACOS","Calcium carbonate"
"HARDW","Calciumhardness as Calcium carbonate"
"CALOS","Calorific .value"
"CARB","Carbaryl"
"CBZ","Carbazole"
"CARF","Carbofuran"
"CARBON","Carbon"
"GCARD","Carbon dioxide"
"CDS","Carbon Disulphide"
"GCARM","Carbon monoxide"
"CTET","Carbon tetrachloride"
"COS","Carbonate"
"CATE","Catechol"
"CATIS","Cation exchange capacity"
"CATW","Cationic detergents"
"CHOXW","Chemical oxygen demand"
"CFP","Chlorfenvinphos"
"CL","Chloride"
"CLHYS","Chlorinated hydrocarbons"
"CHLOW","Chlorine"
"CHDW","Chlorine demand"
"CBENZ","Chlorobenzene"
"CETH","Chloroethane"
"CHETH","Chloroethene"
"CFM","Chloroform"
"CMN","Chloromethane"
"CNAP","Chloronaphthalene"
"CNA","Chloronitroaniline"
"CPHE","Chlorophenols(Total)"
"CPYR","Chlorpyrifos"
"CR","Chromium"
"CRYN","Chrysene"
"C13DP","cis- 1,3-Dichloropropane"
"12DEE","cis 1,2 -Dichloroethene"
"13DCPE","cis 1,3 -Dichloropropene"
"COALS","Coaltar derivatives"
"CO","Cobalt"
"COLO","Coliformorganisms"
"COMBS","Combustibility"
"CNCOMP","Complex Cyanide"
"CU","Copper"
"CRES","Cresols"
"CN","Cyanide"
"CYPYRN","Cyclopenta(cd) pyrene"
"DECPB","Decachlorobiphenyl"
"DECA","Decane"
"DBHC","delta- BHC"
"DEMS","Demeton- S"
"DNOP","Di- n-octylphthalate"
"DIAZ","Diazinon"
"DIABN","Dibenzo(ah) anthracene"
"DBF","Dibenzofuran"
"DIBM","Dibromochloromethane"
"DBE","Dibromoethane"
"DIBROM","Dibromomethane"
"DBT","Dibutyltin"
"DCHLB","Dichlorobenzene(Total)"
"DCFM","Dichlorodifluoromethane"
"DICM","Dichloromethane"
"DCPHE","Dichlorophenol(Total)"
"DCV","Dichlorvos"
"DIEL","Dieldrin"
"DRO","Diesel range organics"
"DEP","Diethyl phthalate"
"GDIES","Diethyl sulphide"
"DMETH","Dimethoate"
"DIMP","Dimethyl phthalate"
"DIMPH","Dimethylphenols"
"DNBP","Di-n-butyl phthalate"
"DPE","Diphenyl ether"
"DO","Dissolved oxygen"
"DST","Disulfoton"
"DOCS","Docosane"
"DOD","Dodecane"
"DOTC","Dotriacontane"
"EICO","Eicosane"
"CONDW","Electrical conductivity"
"EHW","Electrolytic potential"
"ENDOI","Endosulfan I"
"ENDOII","Endosulfan II"
"ENDSUL","Endosulfansulphate"
"ENDR","Endrin"
"ENDALD","Endrin aldehyde"
"ESCC","Escherichia Coli"
"GETHA","Ethane"
"GETHE","Ethene"
"EPAR","Ethyl parathion"
"ETHYL","Ethylbenzene"
"EGLW","Ethylene glycol"
"ETRP","Etrimphos"
"FCOL","Faecal Coliforms"
"FSTP","Faecal Streptococci"
"FTT","Fenotrothion"
"FENT","Fenthion"
"FERCS","Ferricyanide"
"FERFS","Ferro-ferricyanide"
"FLNN","Fluoranthene"
"FLN","Fluorene"
"FLS","Fluoride"
"FORMA","Formaldehyde"
"FTU","Formazin Turbidity Units"
"FCAM","Furancarboxaldehyde methyl-"
"GBHC","gamma- BHC"
"GHCH","gamma- HCH"
"GPS","GramPositive Spore"
"HALO","Halogenatedcompounds"
"GHEL","Helium"
"HEPC","Heptachlor"
"HEPEPO","Heptachlorepoxide"
"HEPPB","Heptachlorobiphenyl"
"HEPD","Heptadecane"
"HEPTE","Heptene"
"HEPP","Heptenophos"
"HCHLB","Hexachlorobenzene"
"HEXPB","Hexachlorobiphenyl"
"HEXBUT","Hexachlorobutadiene"
"HCCP","Hexachlorocyclopentadiene"
"HCE","Hexachloroethane"
"HEXAC","Hexacosane"
"HEXD","Hexadecane"
"CRVI","Hexavalent Chromium"
"HDTS","Hydrocarbons(Total)"
"GHYD","Hydrogen"
"GHYDC","Hydrogencyanide"
"GHYDS","Hydrogensulphide"
"INDP","Indeno(1,2,3 -cd) pyrene"
"IOW","Iodide"
"IODP","Iodofenphos"
"FE","Iron"
"IPB","iso- Propylbenzene"
"ISOD","Isodrin"
"ISOP","Isophorone"
"IPP","Isopropylphenol"
"NITRS","Kjeldahlnitrogen (Total)"
"PNEU","L Pneumophila bacterium"
"LANGW","Langelier Index"
"PB","Lead"
"LEG","Legionella bacterium"
"LIND","Lindane"
"LI","Lithium"
"IGNIS","Losson ignition"
"MXYL","m& p-Xylene"
"MG","Magnesium"
"MALTH","Malathion"
"MANE","Maneb(ACN)"
"MN","Manganese"
"HG","Mercury"
"METC","Methacriphos"
"GMETH","Methane"
"METXC","Methoxychlor"
"METP","Methyl parathion"
"METHP","Methylphenols"
"MEVP","Mevinphos"
"MOILS","Mineral oils"
"MOIST","Moisture content"
"MO","Molybdenum"
"MCHLB","Monochlorobenzene(Total)"
